karachi	kɚɹˈɑːɹtʃi
dickinson	dˈɪkɪnsən
hindustan	hˌɪndəstˈɑːn
northrop	nˈɔːɹθɹɑːp
essilorluxottica	ˈɛsɪlɚ lʌksˈɑːɾɪkə
movil	mˈuːvəl
inditex	ɪndˈaɪɾɛks
paribas	pæɹˈiːbəz
bayer	bˈeɪɚ
zurich	zjˈʊɹɪk
sherwin-williams	ʃˈɜːwɪnwˈɪljəmz
enel	ˈɛnəl
softbank	sˈɔft bˈæŋk
healthineers	hˌɛlθɪnˈɪɹz
netease	nˈɛt ˈiːz
colgate-palmolive	kˈɑːlɡeɪtpˈɑːməlˌɪv
walmex	wˈɔlmɛks
fiserv	fˈaɪsɜːv
truist	tɹˈuːɪst
schlumberger	ʃlˈʌmbɚdʒɚ
anglo	ˈæŋɡloʊ
rosneft	ɹˈɑːsnɛft
healthcare	hˈɛlθkɛɹ
equinix	ˈɛkwɪnˌɪks
activision	ˈæktɪvˌɪʒən
kering	kˈɜːɹɪŋ
hynix	hˈaɪnɪks
edwards	ˈɛdwɚdz
lifesciences	lˈaɪfsaɪənsᵻz
investor	ɪnvˈɛstɚ
nongfu	nˌɑːŋɡfˈuː
enterprise	ˈɛntɚpɹˌaɪz
products	pɹˈɑːdʌkts
shin-etsu chemical	ʃˈɪnˈɛtsuː
midea	mɪdˈiə
maersk	mˈɛɹsk
aon	ˈeɪɑːn
reckitt	ɹˈɛkɪt
benckiser	bˈɛŋkaɪzɚ
nutrien	njˈuːtɹiən
humana	hjuːmˈɑːnə
suncor	sˈʌŋkɚ
heineken	hˈaɪnɛkən
freeport-mcmoran	fɹˈiːpɔːɹtmək mˈoʊ ɹˈæn
telecom	tˈɛlᵻkˌɑːm
nintendo	nɪntˈɛndoʊ
moderna	mˈɑːdɚnə
eaton	ˈiːtən
moody's	mˈuːdiz
compagnie	kəmpˈæɡni
financière	faɪnˈænsiˈɛɹ
richemont	ɹˈɪkiːmˌɔnt
vinci	vˈɪnsaɪ
dassault	dˈæsɔlt
systèmes	sˈɪstəmz
newmont	nˈuːmɔnt
mindray	mˈaɪndɹeɪ
fedex	fˈɛd ˈɛks
nornickel	nˈɔːɹnɪkəl
banco	bˈæŋkoʊ
santander	sˈæntændɚ
brasil	bɹˈæsəl
chemicals	kˈɛmɪkəlz
exchanges	ɛkstʃˈeɪndʒᵻz
motors	mˈoʊɾɚz
bancshares	bˈæŋkʃɛɹz
bharti	bˈɑːɹɾi
airtel	ˈɛɹɾəl
metlife	mˈɛt lˈaɪf
itaú unibanco	ˈɪɾaʊ
unibanco	jˌuːnɪbˈæŋkoʊ
marriott	mˈæɹɪət
sempra	sˈɛmpɹə
pinduoduo	pˈɪndjuːˌɑːdjuːˌoʊ
flavouring	flˈeɪvɚɹɪŋ
foxconn	fˈɑːkskɑːn
foxconn (hon hai precision industry)	(hˈɑːn,ˈɪndʌstɹi)
hai	hˈaɪ
valero	vælˈɛɹoʊ
copco	kˈɑːpkoʊ
rakyat	ɹˈækɪˌæt
vmware	vˌiːˈɛmwˈɛɹ
novatek	nˈoʊvətˌɛk
hitachi	hɪtˈætʃi
keurig	kjˈuːɹɪɡ
dr	dˈɑːktɚ
pernod	pˈɜːnɑːd
ricard	ɹˈɪkɑːɹd
palo	pˈɑːloʊ
macquarie	mˈækweɪɹi
adyen	ɐdɪˈɛn
daniels	dˈænjəlz
mckesson	mə kˈɛsən
kotak	kˈɑːɾæk
mahindra	mæhˈɪndɹə
thomson	tˈɑːmsən
reuters	ɹˈɔɪɾɚz
semiconductors	sˌɛmɪkəndˈʌktɚz
hikvision	hˈɪkvɪʒən
ørsted	ˈɔːɹstᵻd
synopsys	sˈɪnɑːpsiz
exelon	ɛɡzˈɛlən
sberbank	ˈɛsbˈɜːbæŋk
uber	jˈuːbɚ
marvell	mˈɑːɹvɛl
shopify	ʃˈɑːpᵻfˌaɪ
ambev	ˈæmbɛv
bradesco	bɹˈeɪdskoʊ
ecolab	ˈɛkəlˌæb
daiichi	daɪˈɪtʃi
daiichi sankyō	sˈæŋkaɪˌoʊ
fortinet	fˈɔːɹtɪnˌɛt
adani	ɐdˈæni
chugai	tʃˈuːɡaɪ
lukoil	lˈuːkɔɪl
constellation	kˌɑːnstɪlˈeɪʃən
biologics	bˌaɪəlˈɑːdʒɪks
stellantis	stˈɛlæntiz
bajaj	bˈædʒædʒ
denso	dˈɛnsoʊ
mediatek	mˈiːdiːə tˈɛk
vodafone	vˈɑːdɐfˌoʊn
atlassian	ætlˈæsiən
alimentation couche-tard	kˈaʊtʃtˈɑːɹd
corteva	kˈɔːɹɾɛvə
warner	wˈɔːɹnɚ
safran	sˈæfɹən
kimberly-clark	kˈɪmbɚliklˈɑːɹk
kinder	kˈaɪndɚ
cenovus	sˈɛnɑːvəs
baidu	bˈeɪduː
sea (garena)	(ɡˈæɹɛnə)
hershey	hˈɜːʃi
volvo	vˈɑːlvoʊ
sumitomo	sˌuːmɪtˈoʊmoʊ
mitsui	mˈɪtsuːi
paychex	pˈeɪtʃɛks
lonza	lˈɑːnzə
itōchū shōji	aɪtˈɑːtʃuː,ʃˈoʊdʒi
amphenol	ˈæmfənˌɑːl
securities	sᵻkjˈʊɹɹᵻɾiz
travelers	tɹˈævəlɚz
murata	mjʊɹɹˈɑːɾə
murata manufacturing (murata seisakusho)	(mjʊɹɹˈɑːɾə,sˌeɪsɐkˈʌʃoʊ)
intesa	ɪntˈɛsə
sanpaolo	sænpˈaʊloʊ
xcel	ˈɛkssˈɛl
apptec	ˈæp tˈɛk
jardine	dʒˈɑːɹdiːn
matheson	mˈæθɛsən
grupo	ɡɹˈuːpoʊ
méxico	mˈeɪksɪkˌoʊ
sysco	sˈɪskoʊ
autodesk	ˌɔːɾoʊdˈɛsk
welltower	wˈɛltaʊɚ
danone	dˈænɑːn
bank of china (hong kong)	(hˈɑːŋ,kˈɑːŋ)
wanhua	wˈɔnhjuːə
bussan	bˈʌsən
muyuan	mˈaɪjuːən
mercadolibre	mɜːkˈɑːdoʊ liːbɹə
infineon	ɪnfˈaɪnɑːn
zijin	zˈɪdʒɪn
worldwide	wˈɜːldwaɪd
illumina	ɪlˈuːmɪnə
nordea	nˈɔːɹdiə
tokio	tˈoʊkɪˌoʊ
o'reilly automotive	oʊɹˈaɪli
cintas	sˈɪntəz
agilent	ˈædʒɪlənt
nidec	nˈaɪdək
xiaomi	zˌaɪəˈoʊmi
solutions	səlˈuːʃənz
wesfarmers	wˈɛsfɑːɹmɚz
microchip	mˈaɪkɹoʊtʃˌɪp
maaden	mˈɑːdən
barrick	bˈæɹɪk
hess	hˈɛs
walgreens	wˈɔlɡɹiːnz
chipotle	tʃᵻpˈoʊtleɪ
kuaishou	kjˈuːeɪʃˌuː
alcon	ˈælkən
controls	kəntɹˈoʊlz
adidas	ˈædɪdəz
autozone	ˈɔːɾoʊ zˈoʊn
engineering	ˌɛndʒɪnˈɪɹɪŋ
motorola	mˌoʊɾɚɹˈoʊlə
yili	jˈɪli
lyondellbasell	lˈaɪəndˌɛl bˈeɪsəl
lululemon	lˈuːluːlˌɛmən
athletica	æθlˈɛɾɪkə
pudong	pjˈuːdɑːŋ
kai	kˈaɪ
crédit	kɹˈeɪdɪt
ferrari	fɚɹˈɑːɹɹi
crowdstrike	kɹˈaʊd stɹˈaɪk
halliburton	hˈælɪbˌɜːtən
allstate	ɔːlstˈeɪt
manulife	mˈænjuːlˌaɪf
ad absurdam	ˈæd ɐbsˈɜːdəm
ad hoc	ˈæd hˈɑːk
ad infinitum	ˈæd ɪnfˈɪnaɪɾəm
ad nauseam	ˈæd nˈɔːziəm
a fortiori	ɐ fˈɔːɹɾɪɹi
alter ego	ˈɔltɚɹ ˈiːɡoʊ
anno domini	ˈænoʊ dəmˈiːni
ante bellum	ˈæntiː bˈɛləm
a posteriori	ɐ pɑːstˈɪɹiˈɔːɹi
a priori	ɐ pɹaɪˈɔːɹi
aqua vitae	ˈækwə vˈɪɾiː
ars longa vita brevis	ˈɑːɹz lˈɔŋɡə vˈiːɾə bɹˈɛvɪs
aurora borealis	ɔːɹˈɔːɹə bˌɔːɹɪˈælɪs
bona fide	bˈoʊnə fˈaɪd
camera obscura	kˈæmɹə əbskjˈʊɹɹə
carpe diem	kˈɑːɹp dˈiːm
casus belli	kˈɑːsʊs bˈɛli
caveat emptor	kˈævɪˌɑːt ɛmptˈɔːɹ
ceteris paribus	sˈɛɾɚɹˌɪs pˈæɹɪbəs
coitus interruptus	kˈɔɪɾəs ˌɪntɚɹˈʌptəs
compos mentis	kəmpˈoʊz mˈɛntiz
corpus delicti	kˈɔːɹpəs dᵻlˈɪkti
cui bono	kjˈuːi bˈoʊnoʊ
curriculum vitae	kɜːɹˈɪkjʊləm vˈɪɾiː
de facto	də fˈæktoʊ
de jure	deɪdʒˈʊɹɹi
delirium tremens	dᵻlˈɪɹiəm tɹˈɛmɛnz
de profundis	də pɹəfˈʌndiz
deus ex machina	dˈeɪʊs ˈɛks məʃˈiːnə
dramatis personae	dɹæmˈɑːɾiz pˈɜːsənˌiː
ecce homo	ˈɛks hˈoʊmoʊ
e pluribus unum	ˈiː plˈʊɹɹɪbəs ʌnˈʌm
ergo	ˈɜːɡoʊ
et al	ˈɛt ˈæl
etc	ɛtsˈɛtɹə
et tu, brute	ˈɛt tˈuː, bɹˈuːt
ex cathedra	ˈɛks kæθˈiːdɹə
exempli gratia	ɛɡzˈɛmpli ɡɹˈeɪʃə
ex officio	ˈɛks əfˈɪsɪˌoʊ
ex post facto	ˈɛks pˈoʊst fˈæktoʊ
flagrante delicto	fleɪɡɹˈɑːnteɪ dᵻlˈɪktoʊ
id est	aɪdˈiː ˌiːˌɛstˈiː
in absentia	ɪn æbsˈɛntiːə
in camera	ɪn kˈæmɹə
in extremis	ɪn ɛkstɹˈɛmɪs
in flagrante delicto	ɪn fleɪɡɹˈɑːnteɪ dᵻlˈɪktoʊ
in loco parentis	ɪn lˈoʊkoʊ pˈɛɹəntiz
in medias res	ɪn mˈiːdiːəz ɹˈɛz
in situ	ɪn sˈɪɾuː
inst	ˈɪnst
inter alia	ˌɪntɚɹ ˈeɪliə
in toto	ɪn tˈoʊɾoʊ
in vino veritas	ɪn vˈiːnoʊ vɛɹˈiːɾəz
in vitro	ɪn vˈɪtɹoʊ
ipso facto	ˈɪpsoʊ fˈæktoʊ
mea culpa	mˈiː kˈʌlpə
memento mori	məmˈɛntoʊ mˈɔːɹi
mens sana in corpore sano	mˈɛnz sˈɑːnə ɪn kˈɔːɹpɔːɹ sˈɑːnoʊ
modus operandi	mˈoʊdəs ˌɑːpɚɹˈændi
modus vivendi	mˈoʊdəs vaɪvˈɛndi
mutatis mutandis	mjuːtˈɑːɾiz mjuːtˈændiz
n.b	ˈɛn.bˈiː
nil desperandum	nˈɪl dᵻspɚɹˈændəm
non compos mentis	nˈɑːn kəmpˈoʊz mˈɛntiz
non sequitur	nˈɑːn sˈɛkwɪɾɚ
obiter dictum	ˈɑːbaɪɾɚ dˈɪktəm
op.cit	ˈɑːp.sˈɪt
pari passu	pˈæɹi pˈæsuː
pater familias	pˈeɪɾɚ fæmˈɪliəz
pax	pˈæks
perpetuum mobile	pɚpˈɛtjuːəm mˈoʊbəl
per se	pˌɜː sˈeɪ
persona non grata	pɜːsˈoʊnə nˈɑːn ɡɹˈɑːɾə
post mortem	pˈoʊst mˈɔːɹɾəm
post scriptum	pˈoʊst skɹˈɪptəm
prima facie	pɹˈiːmə fˈeɪsi
primum mobile	pɹˈaɪməm mˈoʊbəl
pro bono	pɹˈoʊ bˈoʊnoʊ
pro forma	pɹˈoʊ fˈɔːɹmə
q.e.d	kjˈuː.ˈiː.dˈiː
quo vadis	kwˈoʊ vˈædiz
q.v	kjˈuː.vˈiː
rara avis	ɹˈɑːɹɹə ˈævɪs
reductio ad absurdam	ɹᵻdˈʌktɪˌoʊ ˈæd ɐbsˈɜːdəm
rigor mortis	ɹˈɪɡɚ mˈɔːɹɾiz
sanctum sanctorum	sˈæŋktəm sæŋktˈɔːɹəm
sic transit gloria mundi	sˈɪk tɹˈænsɪt ɡlˈɔːɹiə mˈʌndi
sine qua non	sˈaɪn kwˈɑː nˈɑːn
sui generis	sˈuːi dʒənˈɛɹɪs
summa cum laude	sˈʌmə kʊmlˈaʊdi
tabula rasa	tˈæbjʊlɚ ɹˈɑːsə
tempus fugit	tˈɛmpəs fjˈuːdʒɪt
terra firma	tˈɛɹə fˈɜːmə
terra incognita	tˈɛɹə ɪŋkɑːɡnˈiːɾə
ultima ratio	ˈʌltɪmɚ ɹˈeɪʃɪˌoʊ
vade mecum	vˈeɪd mˈɛkəm
via dolorosa	vˈaɪə dˌɑːlɔːɹˈoʊsə
vice versa	vˈaɪs vˈɜːsə
vox populi	vˈɑːks pˈɑːpjʊlˌaɪ
affaire de coeur	ɐfˈɛɹ də kˈɜː
affaire d’honneur	ɐfˈɛɹ dəhənˈʊɹ
agent provocateur	ˈeɪdʒənt pɹəvˌɑːkɐtˈʊɹ
à la mode	ˌɑːlæ mˈoʊd
amour propre	ɐmˈʊɹ pɹˈɑːpɚ
ancien régime	ˈeɪnʃən ɹˈeɪdʒaɪm
après moi le déluge	ˈæpɹeɪ mwˈɑː lə dˈeɪluːdʒ
à propos	æ pɹˈoʊpoʊz
arriviste	ɚɹɪvˈiːst
au contraire	ˌoʊ kˌɑːntɹəˈaɪɚ
au courant	ˌoʊ kʊɹˈɑːnt
au fait	ˌoʊ fˈeɪt
au naturel	ˌoʊ nˈeɪtʃɚɹəl
avant-garde	ˈævəntɡˈɑːɹd
beau monde	bˈoʊ mˈɔnd
bel esprit	bˈɛl ɛspɹˈɪt
belles lettres	bˈɛlz lˈɛɾɚz
bête noir	bˈɛɹt nwˈɑːɹ
billet doux	bˈɪlɪt dˈuː
carte blanche	kˈɑːɹt blˈɑːnʃ
cause célèbre	kˈɔːz sˈeɪlɛbɚ
c’est la vie	seɪ læ vˈiː
cherchez la femme	tʃˈɜːʃeɪ lˌæ fˈɛm
chez nous	ʃˈeɪ nˈuːz
comédie humaine	kəmˈeɪdi hjˈuːmeɪn
comme ci comme ça	kəmˈɛ sˈaɪ kəmˈɛ sˈɑː
comme il faut	kəmˈɛ ˈɪl fˈaʊt
cordon bleu	kˈɔːɹdən blˈuː
coup de grâce	kˌuːdə ɡɹˈɑː
coup de théâtre	kˈuːp də θˈeɪæɾɚ
crème de la crème	kɹˈɛm də lˌæ kɹˈɛm
cri de coeur	kɹˈaɪ də kˈɜː
déclassé	dˌeɪklɐsˈeɪ
déjà vu	dˌeɪʒɑː vˈuː
demi-monde	dˈɛmimˈɔnd
de rigueur	dɚ ɹˈiːɡˈʊɹ
dernier cri	dˈɜːniɚ kɹˈaɪ
détente	deɪtˈɑːnt
de trop	də tɹˈɑːp
double entendre	dˈʌbəl ɑːntˈɑːndɹə
du jour	dˈuː ʒˈʊɹ
éminence grise	ɪmˈaɪnəns ɡɹˈaɪz
enfant terrible	ɛnfˈænt tˈɛɹᵻbəl
en route	ɑːn ɹˈuːt
entente cordiale	ɑːntˈɑːnt kˈɔːɹdɪˌeɪl
entre nous	ɛntɹˈɛ nˈuːz
esprit de corps	ɛspɹˈɪt də kˈɔːɹ
fait accompli	fˈeɪt ɐkɑːmplˈiː
faux pas	fˌoʊ pˈɑː
femme fatale	fˈɛm feɪtˈæl
fin de siècle	fˈɪn də sˈaɪkəl
folie à deux	fˈoʊli æ djˈuː
force majeure	fˈɔːɹs mɐdʒjˈuːɹə
haute couture	hˈɔːt kuːtˈʊɹ
haute cuisine	hˈɔːt kwᵻzˈiːn
hors de combat	hˈɔːɹz də kˈɑːmbæt
hors d’oeuvre	hˈɔːɹz dˈɜːvɹə
idée fixe	aɪdˈeɪ fˈɪks
je ne sais quoi	ʒənəsˈeɪ kwˈɑː
jeu d’esprit	dʒjˈuː dɛspɹˈɪt
joie de vivre	ʒwˈɑː də vˈiːvɹə
laissez faire	lˈeɪsɛz fˈɛɹ
lèse-majesté	lˈiːzmɐdʒɪstˈeɪ
manqué	mæŋkˈeɪ
ménage à trois	meɪnˈɑːʒ æ twˈɑː
mise en scène	mɪsˈiː ˈɛn sˈiːn
mot juste	mˈɑːt dʒˈʌst
née	nˈeɪ
n’est-ce pas	ˈɛnˈɛstsˈiː pˈæs
nom de plume	nˈɑːm də plˈuːm
nouveau riche	nˈuːvoʊ ɹˈɪtʃ
objet d’art	ɑːbdʒˈɛt dˈɑːɹt
objet trouvé	ɑːbdʒˈɛt tɹuːvˈeɪ
outré	aʊtɹˈeɪ
par avion	pˈɑːɹ ˈeɪvɪən
passe-partout	pˈæspˈɑːɹɾaʊt
pièce de résistance	pˈiːs dɚ ɹˌeɪzɪstˈɑ̃ns
pied-à-terre	pɪˈɛdætˈɛɹ
plus ça change	plˈʌs sˈɑː tʃˈeɪndʒ
prêt-à-porter	pɹˈɛɹɾæpˈɔːɹɾɚ
prix fixe	pɹˈiː fˈɪks
raison d’être	ɹˌeɪzɑːn dˈɛtɹə
réchauffé	ɹˌeɪʃoʊfˈeɪ
recherché	ɹᵻtʃɚʃˈeɪ
retroussé	ɹˌɛtɹoʊʌsˈeɪ
roman à clef	ɹˈoʊmən æ klˈɛf
sang-froid	sˈæŋfɹˈɔɪd
sans-souci	sˈænzsˈaʊsaɪ
savoir faire	sˈeɪvwɑːɹ fˈɛɹ
soi-disant	sˈɔɪdɪsˈænt
soupçon	sˈuːpsɑːn
tête-à-tête	tˈɛɹɾætˈɛɹt
tout le monde	tˈaʊt lə mˈɔnd
trompe l’oeil	tɹˈɑːmp ˈɛlˈoʊɪl
vis-à-vis	vˌiːzɐvˈiː
vive la différence	vˈaɪv lˌæ dˈɪfeɪɹəns
volte-face	vˈoʊltfˈeɪs
aficionado	ɐfˌɪʃənˈɑːdoʊ
desaparecidos	dᵻsˌæpɛɹsˈiːdoʊz
hora inglesa	hˈɔːɹə ɪŋɡlˈɛsə
mañana	mænjˈɑːnə
mano a mano	mˈɑːnoʊ ɐ mˈɑːnoʊ
poco a poco	pˈoʊkoʊ ɐ pˈoʊkoʊ
que será será	kwˈɛ səɹˈɑː səɹˈɑː
cantonese	kˌæntoʊnˈiːz
$lbs	pˈaʊndz
mr	mˈɪstɚ
mrs	mˈɪsɪz
prof	pɹəfˈɛsɚ
w/	wɪð
w/o	wɪðˈaʊt
$mg	mˈɪlɪɡɹˌæmz
$min	mˈɪnɪts
$hr	ˈaʊɚz
$sec	sˈɛkəndz
$mm	mˈɪlɪmˌiːɾɚz
$ml	mˈɪlɪlˌiːɾɚz
$cm	sˈɛntɪmˌiːɾɚz
$oz	ˈaʊnsᵻz
$lb	pˈaʊnd
$ft	fˈiːt
jr	dʒˈuːnjɚ
$km	kɪlˈɑːmɪɾɚ
$m	mˈiːɾɚ
sr	sˈiːnjɚ
vs	vˈɜːsᵻz
inc	ɪŋkˈɔːɹpɚɹˌeɪɾᵻd
hoover	hˈuːvɚ
angkor wat	ˈæŋkɚ wˈɑːt
eiffel	ˈaɪfəl
rushmore	ɹˈʌʃmɔːɹ
la sagrada familia	lˌæ sæɡɹˈɑːdə fæmˈɪliə
pisa	pˈiːsə
petra	pˈɛtɹə
trevi	tɹˈɛvi
versailles	vˈɜːseɪlz
alcatraz	ˈælkɐtɹˌæz
notre dame	nˈɑːɾɚ dˈeɪm
bellagio	bɛlˈɑːdʒɪˌoʊ
tikal	tɪkˈɑːl
machu picchu	mˈætʃuː pˈɪkuː
adjunctively	ɐdʒˈʌŋktɪvli
aeoline	ˈiːəlˌiːn
aerometeorograph	ˈɛɹoʊmˌɛɾɪˌɔːɹəɡɹˌæf
aeronaut	ˈɛɹoʊnˌɔːt
aerophilatelist	ˈɛɹoʊfˌɪleɪtlˌɪst
agranulocytosis	ˌæɡɹɐnˌuːləsɪtˈoʊsɪs
albuminorrhea	ˈælbjuːmˌɪnɔɹˌiə
albuminoscope	ˈælbjuːmˌɪnəskˌoʊp
albuminose	ˈælbjuːmˌɪnoʊz
albuminosis	ˌælbjuːmɪnˈoʊsɪs
albuminuria	ˌælbjuːmɪnjˈʊɹɹiə
albuminuric	ˌælbjuːmɪnjˈʊɹɹɪk
alcoholically	ˌælkəhˈɑːlɪkli
alcoholism	ˈælkəhˌoʊlɪzəm
alcoholization	ˌælkəhˌɑːlᵻzˈeɪʃən
amphierotic	ˌæmfɪɹˈɑːɾɪk
anisognathism	ˈænɪsˌɑːɡneɪðˌɪzəm
anomalogonatous	ɐnˌɑːmɐlˌɑːɡənˈæɾəs
anticonventional	ˌæntɪkənvˈɛnʃənəl
anticonventionalism	ˌæntɪkənvˈɛnʃənəlˌɪzəm
arcticize	ˈɑːɹktɪsˌaɪz
arcticward	ˈɑːɹktɪkwɚd
arcticwards	ˈɑːɹktɪkwɚdz
artemis	ˈɑːɹɾɪmˌɪs
arthrosporic	ˌɑːɹθɹəspˈɔːɹɪk
aspergillaceae	ɐspˈɜːɡɪlˌeɪsiː
aspergillales	ɐspˈɜːɡɪlˌeɪlz
aspergilliform	ɐspˈɜːɡɪlˌɪfɔːɹm
aspergillus	ɐspˈɜːɡɪləs
borosalicylic	bˌɔːɹəzˌælɪsˈɪlɪk
boughed	bˈaʊd
calenderer	kˈæləndɚɹɚ
cevadilla	sˌɛvɐdˈɪlə
cholecystoduodenostomy	kˌoʊlsɪstˌɑːdjuːoʊdnˈɑːstəmi
cholecystojejunostomy	kˌoʊlsɪstˌoʊdʒdʒuːnˈɑːstəmi
cholecystotomy	kˌoʊlsɪstˈɑːɾəmi
churchful	tʃˈɜːtʃfəl
churchgoer	tʃˈɜːtʃɡoʊɚ
churchgoing	tʃˈɜːtʃɡoʊɪŋ
churchgrith	tʃˈɜːtʃɡɹɪθ
churchman	tʃˈɜːtʃmən
churchmanly	tʃˈɜːtʃmənli
churchmanship	tʃˈɜːtʃmənʃˌɪp
churchmaster	tʃˈɜːtʃmæstɚ
churchscot	tʃˈɜːtʃskɑːt
churchwarden	tʃˈɜːtʃwɔːɹdən
churchwardenism	tʃˈɜːtʃwɔːɹdˌiːnɪzəm
churchwardenize	tʃˈɜːtʃwɔːɹdˌɛnaɪz
churchwardenship	tʃˈɜːtʃwɔːɹdənʃˌɪp
churchway	tʃˈɜːtʃweɪ
churchwise	tʃˈɜːtʃwaɪz
churchwoman	tʃˈɜːtʃwʊmən
circumclude	sˈɜːkəmklˌuːd
circumundulate	sˈɜːkəmˌʌndʒuːlˌeɪt
clonicotonic	klˌɑːnɪkətˈɑːnɪk
cocksureness	kˌɑːkʃˈʊɹnəs
conciliatoriness	kənsˈɪlɪətˌɔːɹinəs
consociate	kənsˈoʊsɪˌeɪt
consociational	kənsˌoʊsɪˈeɪʃənəl
consociative	kənsˈoʊsiətˌɪv
conventionalism	kənvˈɛnʃənəlˌɪzəm
conventionality	kənvˌɛnʃənˈælᵻɾi
conventionalize	kənvˈɛnʃənəlˌaɪz
conventionally	kənvˈɛnʃənəli
costiform	kˈɔstɪfˌɔːɹm
counterrevolutionist	kˌaʊntɚɹˌɛvəlˈuːʃənˌɪst
counterrevolutionize	kˌaʊntɚɹˌɛvəlˈuːʃənˌaɪz
cryptobranchidae	kɹˈɪptəbɹˌæntʃɪdˌiː
crystallizability	kɹˌɪstɐlˌaɪzəbˈɪlᵻɾi
crystallizable	kɹˈɪstɐlˌaɪzəbəl
disproportionably	dˌɪspɹəpˈɔːɹʃənəbli
disproportional	dˌɪspɹəpˈɔːɹʃənəl
disproportionality	dˌɪspɹəpˌɔːɹʃənˈælᵻɾi
disproportionally	dˌɪspɹəpˈɔːɹʃənəli
disproportionalness	dˌɪspɹəpˈɔːɹʃənəlnəs
disproportionate	dˌɪspɹəpˈɔːɹʃənət
disproportionately	dˌɪspɹəpˈɔːɹʃənətli
disproportionateness	dˌɪspɹəpˈɔːɹʃənətnəs
disproportionation	dˌɪspɹəpˈɔːɹʃənˈeɪʃən
dissertation	dɪsɚtˈeɪʃən
dissertational	dɪsɚtˈeɪʃənəl
dissertationist	dɪsɚtˈeɪʃənˌɪst
dissertative	dɪsˈɜːɾətˌɪv
dissertator	dɪsˈɜːɾeɪɾɚ
disserviceable	dɪsˈɜːvɪsəbəl
disserviceableness	dɪsˈɜːvɪsəbəlnəs
disserviceably	dɪsˈɜːvɪsəbli
dissyllabize	dɪsˈɪlɐbˌɪz
ecclesial	ᵻklˈiːzɪəl
ecclesiarch	ᵻklˈiːzɪˌɑːɹk
ecclesiarchy	ᵻklˈiːzɪˌɑːɹki
ecclesiast	ᵻklˈiːzɪˌæst
ecclesiastes	ᵻklˈiːzɪˌæsts
ecclesiastic	ᵻklˌiːzɪˈæstɪk
ecclesiastical	ᵻklˌiːzɪˈæstɪkəl
ecclesiastically	ᵻklˌiːzɪˈæstɪkli
ecclesiasticism	ᵻklˌiːzɪˈæstɪsˌɪzəm
ecclesiasticize	ᵻklˌiːzɪˈæstɪsˌaɪz
ecclesiastics	ᵻklˌiːzɪˈæstɪks
ecclesiasticus	ᵻklˌiːzɪˈæstɪkəs
ecclesiastry	ᵻklˈiːzɪˌæstɹi
elaeoblast	ᵻlˈiːəblˌæst
equiproportional	ɪkwˌɪpɹəpˈɔːɹʃənəl
equiproportionality	ɪkwˌɪpɹəpˌɔːɹʃənˈælᵻɾi
erythrinidae	ˈɜːɹɪθɹˌɪnɪdˌiː
erythrocytosis	ˌɜːɹɪθɹˌɑːsɪtˈoʊsɪs
erythroneocytosis	ˌɜːɹɪθɹˌoʊnəsɪtˈoʊsɪs
esophagogastrostomy	ɪsˌɑːfəɡˌɑːɡɐstɹˈɑːstəmi
eumeromorph	jˈuːmɚɹəmˌɔːɹf
exalbuminose	ɛɡzˈælbjuːmˌɪnoʊz
expletory	ɛksplˈɛtˌɔːɹi
fossilification	fˌɑːsɪlˌɪfɪkˈeɪʃən
gargoyled	ɡˈɑːɹɡɔɪld
gargoyley	ɡˈɑːɹɡɔɪli
glyoxalic	ɡlˌaɪəksˈælɪk
glyoxalin	ɡlˈaɪəksˌælɪn
glyoxaline	ɡlˈaɪəksəlˌaɪn
godfathership	ɡˈɑːdfɑːðɚʃˌɪp
haematophiline	hˈiːmɐtˌɑːfɪlˌiːn
hexamethylenamine	hˌɛksɐmɪθˈaɪlnɐmˌiːn
hexamethylene	hˌɛksɐmˈɛθɪlˌiːn
higher	hˈaɪɚ
homomorphous	hˈɑːməmˌɔːɹfəs
homotransplantation	hˌɑːmətɹˌænsplɐntˈeɪʃən
hypervascularity	hˌaɪpɚvˌæskjʊlˈæɹᵻɾi
hypoleucocytosis	hˌaɪpoʊlˌuːkəsɪtˈoʊsɪs
incomprehensibleness	ɪŋkˌɑːmpɹihˈɛnsᵻbəlnəs
incomprehensibly	ɪŋkˌɑːmpɹihˈɛnsᵻbli
incomprehensively	ɪŋkˌɑːmpɹihˈɛnsɪvli
incomprehensiveness	ɪŋkˌɑːmpɹihˈɛnsɪvnəs
incorporate	ɪŋkˈɔːɹpɚɹˌeɪt
incorporated	ɪŋkˈɔːɹpɚɹˌeɪɾᵻd
incorporatedness	ɪŋkˈɔːɹpɚɹˌeɪɾᵻdnəs
insultation	ɪnsʌltˈeɪʃən
insultproof	ɪnsˈʌltpɹuːf
interproportional	ˌɪntɚpɹəpˈɔːɹʃənəl
ionicization	ˌaɪənˌɪsᵻzˈeɪʃən
killeekillee	kˈɪliːkˌɪliː
languet	lˈæŋt
leucocytosis	lˌuːkəsɪtˈoʊsɪs
luciferidae	lˈuːsɪfɚɹˌɪdiː
melodramaticism	mˌɛlədɹɐmˈæɾɪsˌɪzəm
melodramatics	mˌɛlədɹɐmˈæɾɪks
melodramatist	mˈɛlədɹˌæmətˌɪst
melodramatize	mˈɛlədɹˌæmɐtˌaɪz
misocapnist	mɪsˈɑːkɐpnˌɪst
